Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Provides IT administrative, intelligence/imagery analysis and contract administration support services to the federal government. Its clients include the Department of Defense, Veterans Affairs and Homeland Security.",In,Out,Government Services,Treeelectrics,2013,4536775.01,464.00%,12208677.7
Provides HVAC installation and repair along with a range of other home services with a promise of exceptional customer service and quality work.,Out,Out,Construction,Tontam,2007,7119416.21,284.00%,7635931.7
"A global IT services providers specializing in enterprise software. Provides expertise in healthcare, public sector, manufacturing, food & beverage and retail/fashion industries.",Out,Out,IT Services,Ganjatam,2009,5170146.75,256.00%,11195183.47
"Designs and sells environmentally-friendly home goods, vacation accessories and resort apparel made from bamboo fibers.",Out,Out,Retail,Sumice,2013,5654471.97,455.00%,6697300.27
Provides a platform for hyper-local daily deals that help local businesses reach local customers and supports dozens of non-profits and neighborhood schools.,In,Out,Advertising & Marketing,Hayit,2012,3361840.57,242.00%,8173549.94
Provides automotive companies with personnel trained in containment and inspection services. Clients also include aerospace suppliers in the southeastern and midwestern United States.,Out,Out,Manufacturing,Technostreet,2014,6620300.85,409.00%,4749093.52
"Creates and curates custom art packages for hospitality and healthcare projects, including photography, abstract drawings and paintings and 3D pieces.",Out,Out,Media,Haystreet,2013,6702625.92,392.00%,7161498.16
"Operates a private real estate investment trust, focusing on the acquisition and operation of apartment communities in the Dallas/Forth Worth and Houston areas.",In,Out,Real Estate,Contandax,2014,2665064.68,357.00%,9068409.21
"Provides green cleaning, carbon footprint auditing, facilities and waste management, health care housekeeping, and logistics management services to government, private, and commercial organizations nationwide.",In,Out,Environmental Services,Jayquote,2009,1738822.26,237.00%,9318364.4
"Specializes in information security, governance, and compliance.",In,Out,Security,Insaoplex,2009,3355302.74,477.00%,10992478.48
"Caters to the collectibles industry, specializing in the wholesale provision of hobby supplies (comics, coins, and trading cards) as well as sports licensed merchandise.",In,Out,Consumer Products & Services,Vivaex,2012,447105.03,269.00%,9398946.71
"Develops and operates OfficeAutopilot, an integrated platform that allows entrepreneurs to start, systematize and scale their businesses. It features a customer relationship management system, membership sites and WordPress hosting and business automation tools.",In,Out,Software,Vivadom,2010,3656514.11,250.00%,6190811.62
"A business process outsourcer that offers inbound and outbound call services, Web chat, data entry, and quality assurance services from two call center locations.",In,Out,Business Products & Services,Gravefan,2012,2591819.72,433.00%,10932711.9
Purchases overstock and surplus wines directly from vineyards and wineries around the world so that wineries and wine producers can manage overstock inventory while retaining anonymity and maintaining high-end prices for original stock.,Out,Out,Food & Beverage,Gravecon,2010,6237986.96,478.00%,9477347.1
Targets and optimizes mobile and web video advertising inventory through its real-time media buying platform.,In,Out,Advertising & Marketing,Groovecorporation,2011,1268067.04,471.00%,6812340.37
An IT resource management and project implementation company.,Out,Out,IT Services,Hatvollex,2002,5898202.49,425.00%,7410580.88
"Sells heating and cooling equipment directly to homeowners, offering product choice, detailed information to help make that choice, and transparent pricing for appliances and installation.",Out,Out,Consumer Products & Services,Lamlex,2014,4669174.66,350.00%,6110188.59
"Partners with clients to generate more website visits, leads, and customers.",In,Out,Advertising & Marketing,Kanware,2014,2519702.08,359.00%,7402217.48
A certified small disadvantaged business that provides IT consulting and services such as as systems integration and management consulting.,In,In,Government Services,Rankfind,2013,1837223.32,784.00%,11210769.07
"Sells plantation shutters, blinds, shades and other window treatments to homeowners in Atlanta, GA and Charlotte, NC.",In,Out,Retail,Fixcan,2009,4600155.91,269.00%,12184060.71
"Provides a suite of lead management tools, including e-mail, fax and sales work-flow management built into contact management software, that improve lead contact rates by up to 65 percent.",In,Out,Software,Technodexon,2006,3538666.94,493.00%,12554382.66
"Publishes, markets and fulfills orders for products, publications and services in the self-defense and personal protection industries.",Out,Out,Media,Vaialane,2010,6148450.63,460.00%,12532632.25
"Serves church leaders by providing coaching and resources to improve their sermons, recruit & train volunteers and increase fundraising.",Out,Out,Business Products & Services,Donjob,2013,7039095.88,369.00%,12439694.65
"Creates personality-driven, direct response advertising campaigns for retail automotive dealerships in the United States and Canada.",In,Out,Advertising & Marketing,Fincorporation,2012,1778029.69,457.00%,11511148.09
Provides business class voice services in Western New York.,In,In,Telecommunications,Techlux,2012,2141374.37,585.00%,8800945.76
A performance marketing technology company that connects customers and service providers through its online marketing cloud.,Out,Out,Advertising & Marketing,Sun-In,2010,5299483,460.00%,8375924
"Offers artisan-style pizzas Made-On-Demand"" using organic fresh-pressed dough and signature sauces. Customers can create their own pizzas and salads",In,Out,Food & Beverage,Hatit,2012,1818535.53,203.00%,10935075.11
"Provides high-level analysis and management services to the government and private sectors, including organizational and workforce analysis, competency modeling & management and project management.",In,Out,Government Services,Tamtex,2009,2840144.08,370.00%,11205036.37
A VA-certified veteran-owned small business that specializes in providing acquisition management and program management support to the federal government.,Out,Out,Government Services,Itquadlab,2012,6950350.5,406.00%,8198521.64
"Provides on-screen advertising, in-lobby promotions, and marketing services in independent theatre circuits in the US. The BeforeTheMovie pre-show now airs to more than 12 million viewers annually and the company represents theatrical exhibitor partners in 13 states with more than 500 screens.",Out,Out,Advertising & Marketing,Bluefan,2009,7224844.11,550.00%,8789561.22
"Develops and sells health and wellness products based on Moringa oleifera, a nutrient-rich tree. Products include liquid nutritionals, energy & performance, weight management and skin care items.",In,Out,Consumer Products & Services,Konkdom,2010,1306966.56,416.00%,14001604.14
Provides in-house and outsourced IT services for midsize companies and corporations such as Starbucks and General Motors. Areas of expertise include application development and business intelligence.,Out,Out,IT Services,Kaysolodex,2012,5879731.12,513.00%,8310294.02
Creates and distributes unique screen printed and embroidered garments.,Out,Out,Consumer Products & Services,Zunremlane,2013,4973717.24,302.00%,9102843.2
"Specializes in safe financial retirement planning with an emphasis on personalized service, integrity and affordability.",Out,Out,Financial Services,Kinlax,2002,8212849.11,426.00%,9380872.32
